total [map_out]: 22
trajectory_out: #127	x=-0.776911	y=0.941825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1477	1.26005	-0.855551	0
1: 1478	2.15533	-0.216738	0
2: 1479	2.07976	-0.278401	0
3: 1480	1.51338	-0.767115	0
4: 1481	1.51338	-0.767115	0
5: 1482	2.07976	-0.278401	0
6: 1483	2.15533	-0.216738	0
7: 1484	1.51338	-0.767115	0
8: 1485	2.00029	-0.638269	0
9: 1486	1.26005	-0.855551	0
10: 1487	2.00029	-0.638269	0
11: 1488	2.00029	-0.638269	0
12: 1489	1.43267	-0.771088	0
13: 1490	1.43267	-0.771088	0
14: 1491	1.43267	-0.771088	0
15: 1492	1.46599	-0.736789	0
16: 1493	1.46599	-0.736789	0
17: 1494	1.27187	-0.839681	0
18: 1495	1.48911	-0.720674	0
19: 1496	1.44439	-0.798348	0
20: 1497	1.44439	-0.798348	0
21: 1498	1.4533	-0.787921	0
