total [map_out]: 59
trajectory_out: #210	x=-0.812911	y=0.781825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1625	1.24094	-1.08182	0
1: 1626	1.19731	-1.06729	0
2: 1627	1.19731	-1.06729	0
3: 1628	1.19731	-1.06729	0
4: 1629	1.88386	-0.805782	0
5: 1630	1.88386	-0.805782	0
6: 1631	1.19731	-1.06729	0
7: 1632	1.88386	-0.805782	0
8: 1633	1.88386	-0.805782	0
9: 1634	1.19731	-1.06729	0
10: 1635	1.19731	-1.06729	0
11: 1636	1.19731	-1.06729	0
12: 1637	1.19731	-1.06729	0
13: 1638	1.19731	-1.06729	0
14: 1639	1.19731	-1.06729	0
15: 1640	1.74311	-1.12608	0
16: 1641	1.19731	-1.06729	0
17: 1642	1.19731	-1.06729	0
18: 1643	1.19731	-1.06729	0
19: 1644	1.19731	-1.06729	0
20: 1645	1.19731	-1.06729	0
21: 1646	1.19731	-1.06729	0
22: 1647	1.19731	-1.06729	0
23: 1648	1.19731	-1.06729	0
24: 1649	1.19731	-1.06729	0
25: 1650	1.19731	-1.06729	0
26: 1651	1.19731	-1.06729	0
27: 1652	1.19731	-1.06729	0
28: 1653	1.19731	-1.06729	0
29: 1654	1.88386	-0.805782	0
30: 1655	1.19731	-1.06729	0
31: 1656	1.19731	-1.06729	0
32: 1657	1.88386	-0.805782	0
33: 1658	1.19731	-1.06729	0
34: 1659	1.88386	-0.805782	0
35: 1660	1.19731	-1.06729	0
36: 1661	1.88386	-0.805782	0
37: 1662	1.88386	-0.805782	0
38: 1663	1.19731	-1.06729	0
39: 1664	1.88386	-0.805782	0
40: 1665	1.88386	-0.805782	0
41: 1666	1.88386	-0.805782	0
42: 1667	1.88386	-0.805782	0
43: 1668	1.88386	-0.805782	0
44: 1669	1.88386	-0.805782	0
45: 1670	1.88386	-0.805782	0
46: 1671	1.88386	-0.805782	0
47: 1672	1.88386	-0.805782	0
48: 1673	1.88386	-0.805782	0
49: 1674	1.88386	-0.805782	0
50: 1675	1.88386	-0.805782	0
51: 1676	1.88386	-0.805782	0
52: 1677	1.88386	-0.805782	0
53: 1678	1.88386	-0.805782	0
54: 1679	1.88386	-0.805782	0
55: 1680	1.88386	-0.805782	0
56: 1681	1.88386	-0.805782	0
57: 1682	1.19731	-1.06729	0
58: 1683	1.19731	-1.06729	0
