total [map_out]: 41
trajectory_out: #13	x=-0.327461	y=0.358282	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 436	1.25614	-0.617121	0
1: 437	0.894595	-0.557142	0
2: 438	1.45945	0.131753	0
3: 439	1.38274	-0.631897	0
4: 440	1.51813	0.265148	0
5: 441	0.588951	-0.455219	0
6: 442	0.588951	-0.455219	0
7: 443	0.937211	-0.58534	0
8: 444	1.32598	-0.651031	0
9: 445	1.42304	-0.686113	0
10: 446	0.981576	-0.598631	0
11: 447	1.40041	0.231659	0
12: 448	1.11428	0.073855	0
13: 449	1.2691	0.228228	0
14: 450	1.55414	0.370889	0
15: 451	1.01408	-0.560223	0
16: 452	1.61782	-0.747288	0
17: 453	1.51813	0.265148	0
18: 454	1.45945	0.131753	0
19: 455	1.41838	-0.63983	0
20: 456	0.999615	-0.577226	0
21: 457	1.42304	-0.686113	0
22: 458	1.4067	0.116288	0
23: 459	1.30203	-0.589312	0
24: 460	1.32755	-0.620181	0
25: 461	1.38274	-0.631897	0
26: 462	1.05557	-0.583161	0
27: 463	1.45427	-0.633642	0
28: 464	1.10678	0.0680995	0
29: 465	1.32755	-0.620181	0
30: 466	1.61782	-0.747288	0
31: 467	0.894595	-0.557142	0
32: 468	1.25614	-0.617121	0
33: 469	1.11554	0.12465	0
34: 470	0.999615	-0.577226	0
35: 471	0.966646	-0.555008	0
36: 472	0.894595	-0.557142	0
37: 473	1.57568	0.24117	0
38: 474	1.41838	-0.63983	0
39: 475	1.03693	-0.599424	0
40: 476	1.11428	0.073855	0
