total [map_out]: 15
trajectory_out: #160	x=-0.819911	y=0.925825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1537	1.67496	-0.72135	0
1: 1538	1.48959	-1.13145	0
2: 1539	1.87843	-0.957141	0
3: 1540	1.87843	-0.957141	0
4: 1541	1.48959	-1.13145	0
5: 1542	1.48959	-1.13145	0
6: 1543	1.79425	-0.95949	0
7: 1544	1.48959	-1.13145	0
8: 1545	1.48959	-1.13145	0
9: 1546	1.48088	-1.08042	0
10: 1547	1.48959	-1.13145	0
11: 1548	1.79425	-0.95949	0
12: 1549	1.77161	-0.529428	0
13: 1550	1.43109	-0.930562	0
14: 1551	1.43109	-0.930562	0
