total [map_out]: 51
trajectory_out: #51	x=-0.764911	y=0.812825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1110	1.09564	-0.937538	0
1: 1111	1.11421	-0.945652	0
2: 1112	1.11421	-0.945652	0
3: 1113	1.11421	-0.945652	0
4: 1114	1.44784	-1.09617	0
5: 1115	1.44784	-1.09617	0
6: 1116	1.48365	-1.11506	0
7: 1117	1.18167	-0.960857	0
8: 1118	1.44784	-1.09617	0
9: 1119	1.44784	-1.09617	0
10: 1120	1.11421	-0.945652	0
11: 1121	1.65663	-1.02926	0
12: 1122	1.18167	-0.960857	0
13: 1123	1.26851	-0.977591	0
14: 1124	1.12796	-0.922012	0
15: 1125	1.44784	-1.09617	0
16: 1126	1.69232	-1.10188	0
17: 1127	1.73976	-1.0605	0
18: 1128	1.48365	-1.11506	0
19: 1129	1.84902	-1.1083	0
20: 1130	1.1089	-0.928242	0
21: 1131	1.51388	-1.03788	0
22: 1132	1.7015	-1.06624	0
23: 1133	1.8887	-1.05847	0
24: 1134	1.1089	-0.928242	0
25: 1135	1.1089	-0.928242	0
26: 1136	1.73976	-1.0605	0
27: 1137	1.30332	-0.991374	0
28: 1138	1.30743	-1.0112	0
29: 1139	1.26851	-0.977591	0
30: 1140	1.26851	-0.977591	0
31: 1141	1.94753	-1.1001	0
32: 1142	1.18167	-0.960857	0
33: 1143	1.23111	-0.970928	0
34: 1144	1.26747	-1.0091	0
35: 1145	1.8887	-1.05847	0
36: 1146	1.09564	-0.937538	0
37: 1147	1.34956	-1.00777	0
38: 1148	1.23111	-0.970928	0
39: 1149	1.16046	-0.952633	0
40: 1150	1.23797	-0.992494	0
41: 1151	1.29088	-1.01654	0
42: 1152	1.47921	-1.09143	0
43: 1153	1.81838	-1.04967	0
44: 1154	1.80463	-1.04195	0
45: 1155	1.79726	-1.07479	0
46: 1156	1.51388	-1.03788	0
47: 1157	1.51388	-1.03788	0
48: 1158	1.44784	-1.09617	0
49: 1159	1.29982	-1.03588	0
50: 1160	1.7015	-1.06624	0
