total [map_out]: 37
trajectory_out: #35	x=-0.764911	y=0.777825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 955	1.41854	-0.40192	0
1: 956	1.31816	-0.443273	0
2: 957	1.2661	-0.967678	0
3: 958	1.31816	-0.443273	0
4: 959	1.2661	-0.967678	0
5: 960	1.28123	-1.01187	0
6: 961	1.58826	-1.13133	0
7: 962	1.96076	-1.05405	0
8: 963	1.31816	-0.443273	0
9: 964	1.32204	-1.00625	0
10: 965	1.42616	-0.369979	0
11: 966	1.31816	-0.443273	0
12: 967	1.80488	-1.04656	0
13: 968	1.32204	-1.00625	0
14: 969	1.40999	-1.01577	0
15: 970	1.96076	-1.05405	0
16: 971	1.2661	-0.967678	0
17: 972	1.58826	-1.13133	0
18: 973	1.05535	-0.916518	0
19: 974	1.8398	-1.11768	0
20: 975	1.90745	-1.08452	0
21: 976	1.24376	-0.977363	0
22: 977	1.31816	-0.443273	0
23: 978	1.62413	-1.12161	0
24: 979	1.41854	-0.40192	0
25: 980	1.41854	-0.40192	0
26: 981	1.86701	-1.08624	0
27: 982	1.28123	-1.01187	0
28: 983	1.96076	-1.05405	0
29: 984	1.96076	-1.05405	0
30: 985	2.03934	-1.07078	0
31: 986	1.28123	-1.01187	0
32: 987	1.37449	-0.447908	0
33: 988	1.24376	-0.977363	0
34: 989	1.24376	-0.977363	0
35: 990	1.37801	-1.0673	0
36: 991	1.70602	-1.09427	0
