total [map_out]: 40
trajectory_out: #25	x=-0.764911	y=0.720825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 808	1.34389	-1.01754	0
1: 809	1.46256	-1.03984	0
2: 810	1.57329	-0.343471	0
3: 811	1.34389	-1.01754	0
4: 812	1.53537	-1.04418	0
5: 813	1.34389	-1.01754	0
6: 814	1.41349	-1.05131	0
7: 815	1.64438	-0.252787	0
8: 816	1.50537	-1.09842	0
9: 817	1.47142	-0.316958	0
10: 818	1.03091	-0.925557	0
11: 819	1.59292	-1.04515	0
12: 820	1.2404	-0.448203	0
13: 821	1.59292	-1.04515	0
14: 822	1.25869	-0.452789	0
15: 823	1.37338	-1.01605	0
16: 824	1.44529	-0.373866	0
17: 825	1.34389	-1.01754	0
18: 826	1.34389	-1.01754	0
19: 827	1.64438	-0.252787	0
20: 828	2.00911	-1.10277	0
21: 829	1.94505	-1.06207	0
22: 830	1.80097	-1.08374	0
23: 831	2.00423	-1.14386	0
24: 832	1.45389	-1.04061	0
25: 833	1.08703	-0.954282	0
26: 834	1.5385	-0.363652	0
27: 835	1.7769	-1.1972	0
28: 836	1.53537	-1.04418	0
29: 837	1.50537	-1.09842	0
30: 838	1.1787	-0.964924	0
31: 839	1.05528	-0.960331	0
32: 840	1.05722	-0.933915	0
33: 841	1.39645	-1.00166	0
34: 842	1.05424	-0.945999	0
35: 843	1.71878	-1.15966	0
36: 844	1.02596	-0.918416	0
37: 845	1.41598	-0.375176	0
38: 846	1.47616	-1.08834	0
39: 847	2.00423	-1.14386	0
