total [map_out]: 32
trajectory_out: #17	x=-0.488564	y=0.593333	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 592	1.15894	-0.724865	0
1: 593	1.53137	-0.785082	0
2: 594	1.52918	-0.938878	0
3: 595	1.85191	-0.94345	0
4: 596	1.65385	-0.0256881	0
5: 597	1.59884	-0.786984	0
6: 598	1.59884	-0.786984	0
7: 599	1.68783	-0.853978	0
8: 600	1.55896	-0.0569971	0
9: 601	1.85191	-0.94345	0
10: 602	1.55108	0.0115244	0
11: 603	1.85191	-0.94345	0
12: 604	1.46091	-0.745309	0
13: 605	1.78195	-0.903678	0
14: 606	1.66656	-0.776349	0
15: 607	1.57583	-0.844068	0
16: 608	1.59884	-0.786984	0
17: 609	1.49981	-0.781168	0
18: 610	1.56923	-0.792143	0
19: 611	1.02497	-0.702116	0
20: 612	1.41353	-0.768978	0
21: 613	1.6705	0.0920119	0
22: 614	1.05373	-0.70248	0
23: 615	1.44286	-0.76472	0
24: 616	1.13868	-0.743584	0
25: 617	1.59884	-0.786984	0
26: 618	1.26088	-0.112447	0
27: 619	1.61293	-0.0412632	0
28: 620	1.48423	-0.803151	0
29: 621	1.52976	-0.0428914	0
30: 622	1.41427	-0.0394539	0
31: 623	1.11363	-0.711863	0
