total [map_out]: 23
trajectory_out: #302	x=-0.774911	y=0.770826	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1871	1.27907	-0.904713	0
1: 1872	1.65475	-0.50161	0
2: 1873	1.27907	-0.904713	0
3: 1874	1.27907	-0.904713	0
4: 1875	1.27907	-0.904713	0
5: 1876	1.65475	-0.50161	0
6: 1877	1.27305	-0.833085	0
7: 1878	1.65475	-0.50161	0
8: 1879	1.65475	-0.50161	0
9: 1880	1.65475	-0.50161	0
10: 1881	1.65475	-0.50161	0
11: 1882	1.27305	-0.833085	0
12: 1883	1.27305	-0.833085	0
13: 1884	1.65475	-0.50161	0
14: 1885	1.27305	-0.833085	0
15: 1886	1.27305	-0.833085	0
16: 1887	1.65475	-0.50161	0
17: 1888	1.27907	-0.904713	0
18: 1889	1.27907	-0.904713	0
19: 1890	1.27907	-0.904713	0
20: 1891	1.27907	-0.904713	0
21: 1892	1.27305	-0.833085	0
22: 1893	1.27305	-0.833085	0
