total [map_out]: 32
trajectory_out: #5	x=0.000198741	y=0.0613468	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 66	1.11247	-0.310794	0
1: 67	0.747875	-0.260439	0
2: 68	1.25132	-0.324545	0
3: 69	0.695583	-0.368825	0
4: 70	1.22214	-0.491065	0
5: 71	1.39754	0.635343	0
6: 72	0.849606	-0.275253	0
7: 73	0.370107	-0.174148	0
8: 74	1.38061	0.508784	0
9: 75	0.431415	-0.172648	0
10: 76	0.432665	-0.175753	0
11: 77	0.414069	-0.196272	0
12: 78	0.79078	-0.292142	0
13: 79	1.28066	-0.386417	0
14: 80	1.34944	0.727007	0
15: 81	1.1569	0.605229	0
16: 82	0.97335	0.44206	0
17: 83	1.26722	0.605354	0
18: 84	1.12114	0.571757	0
19: 85	0.971368	0.441593	0
20: 86	1.27295	0.548566	0
21: 87	0.891047	-0.300734	0
22: 88	1.28284	0.54539	0
23: 89	1.32342	0.686627	0
24: 90	1.16257	-0.283665	0
25: 91	0.373511	-0.161698	0
26: 92	1.17205	0.540884	0
27: 93	0.900754	0.487989	0
28: 94	1.01196	0.545158	0
29: 95	1.34517	0.680451	0
30: 96	0.815851	-0.245023	0
31: 97	1.41095	-0.396496	0
