total [map_out]: 34
trajectory_out: #38	x=-0.764911	y=0.795825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 992	1.35003	-1.04533	0
1: 993	1.23475	-0.957902	0
2: 994	1.33182	-1.00939	0
3: 995	1.25038	-0.998882	0
4: 996	1.5587	-1.12418	0
5: 997	1.5587	-1.12418	0
6: 998	1.28842	-0.995407	0
7: 999	1.33182	-1.00939	0
8: 1000	1.5587	-1.12418	0
9: 1001	1.77585	-1.04508	0
10: 1002	1.80622	-1.11265	0
11: 1003	1.28842	-0.995407	0
12: 1004	1.37888	-1.00634	0
13: 1005	1.23475	-0.957902	0
14: 1006	1.5587	-1.12418	0
15: 1007	1.73641	-1.09037	0
16: 1008	1.80622	-1.11265	0
17: 1009	1.86862	-1.07864	0
18: 1010	1.60153	-1.14384	0
19: 1011	1.27398	-1.02865	0
20: 1012	1.21243	-0.965706	0
21: 1013	1.25038	-0.998882	0
22: 1014	1.93459	-1.25384	0
23: 1015	1.33182	-1.00939	0
24: 1016	1.25038	-0.998882	0
25: 1017	1.34187	-1.02514	0
26: 1018	2.0136	-1.07084	0
27: 1019	1.21243	-0.965706	0
28: 1020	1.21243	-0.965706	0
29: 1021	1.86862	-1.07864	0
30: 1022	1.41981	-1.04115	0
31: 1023	1.37888	-1.00634	0
32: 1024	1.37888	-1.00634	0
33: 1025	2.08296	-1.116	0
