total [map_out]: 18
trajectory_out: #149	x=-0.805911	y=0.938825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1519	1.80864	-0.747352	0
1: 1520	1.81293	-0.76162	0
2: 1521	1.80864	-0.747352	0
3: 1522	1.81293	-0.76162	0
4: 1523	1.66724	-0.617682	0
5: 1524	1.63422	-0.591259	0
6: 1525	1.62707	-0.551427	0
7: 1526	1.67503	-1.21637	0
8: 1527	1.7228	-0.521801	0
9: 1528	1.73873	-0.48519	0
10: 1529	1.72709	-0.492958	0
11: 1530	1.67484	-0.48892	0
12: 1531	1.64513	-0.467681	0
13: 1532	1.74442	-1.06303	0
14: 1533	1.64383	-1.03144	0
15: 1534	1.31562	-1.02252	0
16: 1535	1.85604	-0.71292	0
17: 1536	1.62175	-1.06772	0
