total [map_out]: 20
trajectory_out: #138	x=-0.787911	y=0.943825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1499	1.67803	-0.865874	0
1: 1500	1.20732	-0.894124	0
2: 1501	1.62283	-0.89254	0
3: 1502	1.67803	-0.865874	0
4: 1503	1.89678	-0.502738	0
5: 1504	1.96202	-0.910428	0
6: 1505	1.20732	-0.894124	0
7: 1506	1.89678	-0.502738	0
8: 1507	1.89678	-0.502738	0
9: 1508	1.96202	-0.910428	0
10: 1509	2.01683	-0.935134	0
11: 1510	1.20732	-0.894124	0
12: 1511	1.96202	-0.910428	0
13: 1512	1.62283	-0.89254	0
14: 1513	1.62283	-0.89254	0
15: 1514	2.01147	-0.890454	0
16: 1515	1.20732	-0.894124	0
17: 1516	1.19224	-0.90432	0
18: 1517	1.61504	-0.857684	0
19: 1518	2.05985	-0.912568	0
