total [map_out]: 30
trajectory_out: #15	x=-0.47164	y=0.324535	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 484	1.1888	-0.757102	0
1: 485	0.826953	-0.695077	0
2: 486	1.3111	-0.77334	0
3: 487	1.43245	-0.00196224	0
4: 488	1.44753	0.1159	0
5: 489	1.1888	-0.757102	0
6: 490	0.869962	-0.722799	0
7: 491	1.3571	-0.825573	0
8: 492	1.33119	0.0823654	0
9: 493	1.23683	-0.731174	0
10: 494	1.44753	0.1159	0
11: 495	0.972711	-0.740758	0
12: 496	1.33119	0.0823654	0
13: 497	0.912263	-0.735494	0
14: 498	1.46862	-0.84104	0
15: 499	0.989816	-0.722783	0
16: 500	1.38754	-0.776067	0
17: 501	1.34742	-0.78011	0
18: 502	1.1888	-0.757102	0
19: 503	1.48607	0.22343	0
20: 504	1.1888	-0.757102	0
21: 505	1.25897	-0.791522	0
22: 506	1.39023	-0.0169289	0
23: 507	1.3368	-0.0340299	0
24: 508	1.48607	0.22343	0
25: 509	1.50251	0.0920902	0
26: 510	1.33119	0.0823654	0
27: 511	1.5529	-0.887141	0
28: 512	1.3111	-0.77334	0
29: 513	1.2558	-0.76445	0
