total [map_out]: 43
trajectory_out: #42	x=-0.764911	y=0.804825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1026	1.8169	-1.07058	0
1: 1027	2.02479	-1.10869	0
2: 1028	1.19179	-0.944913	0
3: 1029	1.20819	-0.98297	0
4: 1030	1.5142	-1.11196	0
5: 1031	1.5142	-1.11196	0
6: 1032	1.24307	-0.98105	0
7: 1033	1.5142	-1.11196	0
8: 1034	1.72547	-1.0369	0
9: 1035	1.58514	-1.05015	0
10: 1036	1.24307	-0.98105	0
11: 1037	1.56688	-1.14777	0
12: 1038	1.33393	-0.993859	0
13: 1039	1.19179	-0.944913	0
14: 1040	1.5142	-1.11196	0
15: 1041	1.8169	-1.07058	0
16: 1042	1.75287	-1.10172	0
17: 1043	1.8821	-1.28559	0
18: 1044	1.22957	-1.01142	0
19: 1045	1.16889	-0.949652	0
20: 1046	1.29708	-0.989013	0
21: 1047	1.58514	-1.05015	0
22: 1048	1.78266	-1.0756	0
23: 1049	1.20819	-0.98297	0
24: 1050	1.30541	-1.02781	0
25: 1051	1.88785	-1.2444	0
26: 1052	1.56688	-1.14777	0
27: 1053	1.20819	-0.98297	0
28: 1054	1.96255	-1.06428	0
29: 1055	1.16889	-0.949652	0
30: 1056	1.16889	-0.949652	0
31: 1057	1.8169	-1.07058	0
32: 1058	1.56688	-1.14777	0
33: 1059	1.36723	-1.05553	0
34: 1060	1.37485	-1.02908	0
35: 1061	1.33393	-0.993859	0
36: 1062	1.33393	-0.993859	0
37: 1063	2.02479	-1.10869	0
38: 1064	1.77107	-1.07371	0
39: 1065	1.89128	-1.05385	0
40: 1066	1.33295	-1.02833	0
41: 1067	1.96255	-1.06428	0
42: 1068	1.15597	-0.962792	0
