total [map_out]: 33
trajectory_out: #324	x=-0.778911	y=0.806826	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1894	1.68937	-0.794893	0
1: 1895	1.91443	-0.516005	0
2: 1896	1.43931	-0.978311	0
3: 1897	1.68937	-0.794893	0
4: 1898	1.39873	-0.880711	0
5: 1899	1.68937	-0.794893	0
6: 1900	1.68937	-0.794893	0
7: 1901	1.39873	-0.880711	0
8: 1902	1.68937	-0.794893	0
9: 1903	1.68937	-0.794893	0
10: 1904	1.43931	-0.978311	0
11: 1905	1.43931	-0.978311	0
12: 1906	1.39873	-0.880711	0
13: 1907	1.43931	-0.978311	0
14: 1908	1.68937	-0.794893	0
15: 1909	1.68937	-0.794893	0
16: 1910	1.64514	-0.805996	0
17: 1911	1.64514	-0.805996	0
18: 1912	1.43931	-0.978311	0
19: 1913	1.43931	-0.978311	0
20: 1914	1.43931	-0.978311	0
21: 1915	1.43931	-0.978311	0
22: 1916	1.68937	-0.794893	0
23: 1917	1.83405	-0.643371	0
24: 1918	1.83966	-0.605487	0
25: 1919	1.43592	-0.860864	0
26: 1920	1.75177	-0.658055	0
27: 1921	1.85869	-0.57287	0
28: 1922	1.75177	-0.658055	0
29: 1923	1.76189	-0.605844	0
30: 1924	2.00925	-0.490674	0
31: 1925	1.91443	-0.516005	0
32: 1926	1.78026	-0.598694	0
