total [map_out]: 44
trajectory_out: #20	x=-0.764911	y=0.663825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 675	1.47019	-1.04309	0
1: 676	1.21098	-0.99691	0
2: 677	1.71282	-0.301489	0
3: 678	1.72625	-0.187907	0
4: 679	1.14947	-1.00146	0
5: 680	1.31346	-0.395487	0
6: 681	1.31346	-0.395487	0
7: 682	1.47045	-0.318534	0
8: 683	1.51372	-0.28176	0
9: 684	1.72625	-0.187907	0
10: 685	1.52084	-1.02091	0
11: 686	1.72625	-0.187907	0
12: 687	1.6749	-0.148053	0
13: 688	1.24945	-1.02097	0
14: 689	1.22673	-0.981677	0
15: 690	1.18926	-1.01477	0
16: 691	1.21098	-0.99691	0
17: 692	1.31346	-0.395487	0
18: 693	1.52084	-1.02091	0
19: 694	1.26962	-1.00625	0
20: 695	1.66008	-1.06182	0
21: 696	1.31346	-0.395487	0
22: 697	1.47019	-1.04309	0
23: 698	1.54251	-1.07813	0
24: 699	1.66891	-0.319958	0
25: 700	1.61571	-0.218014	0
26: 701	1.84189	-1.17685	0
27: 702	1.62831	-1.06885	0
28: 703	1.31346	-0.395487	0
29: 704	1.55155	-1.05597	0
30: 705	1.91058	-1.22101	0
31: 706	1.60743	-0.267834	0
32: 707	1.58975	-1.06161	0
33: 708	1.63958	-1.11164	0
34: 709	1.15177	-0.971653	0
35: 710	1.72512	-1.05067	0
36: 711	1.61629	-0.334967	0
37: 712	1.37129	-0.392852	0
38: 713	1.38728	-0.404013	0
39: 714	1.61571	-0.218014	0
40: 715	1.49899	-1.03943	0
41: 716	1.58531	-0.321481	0
42: 717	1.47019	-1.04309	0
43: 718	1.47019	-1.04309	0
