total [map_out]: 30
trajectory_out: #4	x=-2.70324e-11	y=0.0431076	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 31	1.09529	-0.311118	0
1: 32	0.73044	-0.261023	0
2: 33	1.23314	-0.325386	0
3: 34	1.20976	-0.492103	0
4: 35	0.833552	-0.276179	0
5: 36	1.36424	0.508551	0
6: 37	1.37877	0.633706	0
7: 38	0.353432	-0.174806	0
8: 39	0.415935	-0.176539	0
9: 40	0.774214	-0.292945	0
10: 41	1.26349	-0.387194	0
11: 42	1.07872	0.573622	0
12: 43	1.06495	0.564454	0
13: 44	1.33283	0.727938	0
14: 45	1.13787	0.604199	0
15: 46	0.95572	0.442162	0
16: 47	1.25302	0.615393	0
17: 48	1.10417	0.572034	0
18: 49	0.956703	0.442822	0
19: 50	1.11124	0.507912	0
20: 51	1.15686	0.542721	0
21: 52	0.996373	0.546633	0
22: 53	0.357599	-0.162939	0
23: 54	1.14524	-0.284486	0
24: 55	1.19286	0.62878	0
25: 56	1.32953	0.680499	0
26: 57	0.873811	-0.301449	0
27: 58	0.799248	-0.245635	0
28: 59	0.386783	-0.158001	0
29: 60	1.14183	0.565979	0
