total [map_out]: 20
trajectory_out: #346	x=-0.788911	y=0.821826	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1927	1.53037	-1.21651	0
1: 1928	1.53037	-1.21651	0
2: 1929	1.38545	-0.999502	0
3: 1930	1.63379	-1.01829	0
4: 1931	1.36461	-1.01348	0
5: 1932	1.82724	-0.954146	0
6: 1933	1.91728	-0.704511	0
7: 1934	1.88478	-0.613743	0
8: 1935	1.82724	-0.954146	0
9: 1936	1.82724	-0.954146	0
10: 1937	1.97492	-1.20487	0
11: 1938	1.49476	-1.15472	0
12: 1939	1.91728	-0.704511	0
13: 1940	1.53037	-1.21651	0
14: 1941	1.82724	-0.954146	0
15: 1942	1.82724	-0.954146	0
16: 1943	1.82724	-0.954146	0
17: 1944	1.38545	-0.999502	0
18: 1945	1.99108	-0.55421	0
19: 1946	1.63379	-1.01829	0
