total [map_out]: 18
trajectory_out: #263	x=-0.782911	y=0.758825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1832	1.76852	-0.614787	0
1: 1833	1.78392	-0.65703	0
2: 1834	1.78392	-0.65703	0
3: 1835	1.76444	-0.640651	0
4: 1836	1.76444	-0.640651	0
5: 1837	1.76852	-0.614787	0
6: 1838	1.76444	-0.640651	0
7: 1839	1.76444	-0.640651	0
8: 1840	1.76444	-0.640651	0
9: 1841	1.78392	-0.65703	0
10: 1842	1.78392	-0.65703	0
11: 1843	1.76852	-0.614787	0
12: 1844	1.78392	-0.65703	0
13: 1845	1.76444	-0.640651	0
14: 1846	1.76444	-0.640651	0
15: 1847	1.76444	-0.640651	0
16: 1848	1.76444	-0.640651	0
17: 1849	1.76444	-0.640651	0
