total [map_out]: 26
trajectory_out: #184	x=-0.820911	y=0.808825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1573	1.16962	-0.988313	0
1: 1574	1.16962	-0.988313	0
2: 1575	1.16962	-0.988313	0
3: 1576	1.62174	-0.998677	0
4: 1577	1.62174	-0.998677	0
5: 1578	1.62174	-0.998677	0
6: 1579	1.62174	-0.998677	0
7: 1580	1.62174	-0.998677	0
8: 1581	1.14429	-1.02184	0
9: 1582	1.14429	-1.02184	0
10: 1583	1.14429	-1.02184	0
11: 1584	1.14429	-1.02184	0
12: 1585	1.14429	-1.02184	0
13: 1586	1.14429	-1.02184	0
14: 1587	1.14429	-1.02184	0
15: 1588	1.14429	-1.02184	0
16: 1589	1.14429	-1.02184	0
17: 1590	1.16962	-0.988313	0
18: 1591	1.18238	-1.0016	0
19: 1592	1.61198	-0.961539	0
20: 1593	1.62174	-0.998677	0
21: 1594	1.61198	-0.961539	0
22: 1595	1.61198	-0.961539	0
23: 1596	1.61198	-0.961539	0
24: 1597	1.61198	-0.961539	0
25: 1598	1.61198	-0.961539	0
