total [map_out]: 38
trajectory_out: #8	x=-0.127025	y=0.139869	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 194	1.16992	-0.434989	0
1: 195	1.34085	-0.459779	0
2: 196	1.29908	-0.447888	0
3: 197	0.752787	-0.489104	0
4: 198	0.905894	-0.397966	0
5: 199	0.429104	-0.293854	0
6: 200	1.43484	0.376582	0
7: 201	0.491704	-0.296956	0
8: 202	1.14338	0.433891	0
9: 203	0.473134	-0.316341	0
10: 204	1.32037	0.47068	0
11: 205	1.33714	-0.50836	0
12: 206	0.453356	-0.284808	0
13: 207	1.23745	-0.469249	0
14: 208	0.488776	-0.324119	0
15: 209	1.02879	0.309547	0
16: 210	1.21339	0.472183	0
17: 211	1.1821	0.374328	0
18: 212	1.2245	0.408033	0
19: 213	1.46321	-0.521631	0
20: 214	0.433735	-0.282866	0
21: 215	0.956624	0.354472	0
22: 216	0.433735	-0.282866	0
23: 217	1.06697	0.413517	0
24: 218	0.946417	-0.423068	0
25: 219	0.461972	-0.278784	0
26: 220	1.16992	-0.434989	0
27: 221	1.32553	0.411092	0
28: 222	1.21199	0.430501	0
29: 223	1.02879	0.309547	0
30: 224	0.956624	0.354472	0
31: 225	0.428148	-0.279196	0
32: 226	1.21199	0.430501	0
33: 227	1.44838	0.499936	0
34: 228	0.845273	-0.411548	0
35: 229	1.36591	-0.451506	0
36: 230	1.02879	0.309547	0
37: 231	1.39988	0.546247	0
