total [map_out]: 41
trajectory_out: #93	x=-0.00132546	y=0.597057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 941	1.53755	-0.469984	0
1: 942	1.01913	-0.225122	0
2: 943	1.05435	-0.241366	0
3: 944	1.04852	-0.204443	0
4: 945	1.02995	-0.214064	0
5: 946	1.00041	-0.190847	0
6: 947	1.04852	-0.204443	0
7: 948	1.02995	-0.214064	0
8: 949	1.02995	-0.214064	0
9: 950	1.05597	-0.213434	0
10: 951	1.04852	-0.204443	0
11: 952	1.04852	-0.204443	0
12: 953	1.01494	-0.21774	0
13: 954	1.01494	-0.21774	0
14: 955	1.54247	0.244364	0
15: 956	1.51539	0.00151957	0
16: 957	1.05597	-0.213434	0
17: 958	1.48422	0.190793	0
18: 959	1.47004	0.230946	0
19: 960	1.6287	-0.431351	0
20: 961	1.54247	0.244364	0
21: 962	1.59933	0.140576	0
22: 963	1.6287	-0.431351	0
23: 964	1.61768	-0.083346	0
24: 965	1.57678	0.201442	0
25: 966	1.01494	-0.21774	0
26: 967	0.911175	-0.181481	0
27: 968	1.08704	-0.242772	0
28: 969	1.05597	-0.213434	0
29: 970	1.01913	-0.225122	0
30: 971	1.01494	-0.21774	0
31: 972	1.39817	-0.261627	0
32: 973	1.6042	0.193187	0
33: 974	1.53755	-0.469984	0
34: 975	0.945095	-0.197638	0
35: 976	1.52973	0.100839	0
36: 977	1.05597	-0.213434	0
37: 978	1.53912	0.261418	0
38: 979	1.08704	-0.242772	0
39: 980	1.02995	-0.214064	0
40: 981	1.59425	0.181121	0
