total [map_out]: 37
trajectory_out: #40	x=-0.00132545	y=0.511057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 711	0.905973	-0.204063	0
1: 712	1.60216	-0.316272	0
2: 713	1.08317	-0.286941	0
3: 714	0.966882	-0.19761	0
4: 715	1.07563	-0.256239	0
5: 716	0.982411	-0.239795	0
6: 717	1.29193	-0.36406	0
7: 718	1.02126	-0.235635	0
8: 719	1.07364	0.306811	0
9: 720	1.07563	-0.256239	0
10: 721	0.905973	-0.204063	0
11: 722	0.905973	-0.204063	0
12: 723	1.36475	-0.2985	0
13: 724	1.53913	-0.350508	0
14: 725	1.53913	-0.350508	0
15: 726	1.02126	-0.235635	0
16: 727	1.11029	-0.24549	0
17: 728	0.755419	-0.140003	0
18: 729	0.966882	-0.19761	0
19: 730	1.29193	-0.36406	0
20: 731	1.46965	-0.330637	0
21: 732	1.53913	-0.350508	0
22: 733	1.60216	-0.316272	0
23: 734	1.33282	-0.383168	0
24: 735	1.00729	-0.269997	0
25: 736	0.945019	-0.206704	0
26: 737	1.55816	-0.320172	0
27: 738	0.982411	-0.239795	0
28: 739	1.07563	-0.256239	0
29: 740	0.982411	-0.239795	0
30: 741	1.07441	-0.263503	0
31: 742	1.07364	0.306811	0
32: 743	0.945019	-0.206704	0
33: 744	0.945019	-0.206704	0
34: 745	1.14444	-0.309208	0
35: 746	1.15334	-0.281117	0
36: 747	1.11029	-0.24549	0
