total [map_out]: 20
trajectory_out: #140	x=-0.0263255	y=0.637057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1041	1.09969	-0.144915	0
1: 1042	1.09969	-0.144915	0
2: 1043	1.03325	-0.133169	0
3: 1044	1.06302	-0.129355	0
4: 1045	1.03325	-0.133169	0
5: 1046	1.03325	-0.133169	0
6: 1047	1.03325	-0.133169	0
7: 1048	1.03325	-0.133169	0
8: 1049	1.03325	-0.133169	0
9: 1050	1.60652	0.442034	0
10: 1051	1.60652	0.442034	0
11: 1052	1.03325	-0.133169	0
12: 1053	1.03325	-0.133169	0
13: 1054	1.60652	0.442034	0
14: 1055	1.60652	0.442034	0
15: 1056	1.40491	-0.00475478	0
16: 1057	1.79423	0.12106	0
17: 1058	1.40491	-0.00475478	0
18: 1059	1.09969	-0.144915	0
19: 1060	1.03724	-0.143664	0
