total [map_out]: 30
trajectory_out: #15	x=-0.00132546	y=0.300057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 435	1.16436	-0.286787	0
1: 436	0.802516	-0.224762	0
2: 437	1.28666	-0.303025	0
3: 438	1.40802	0.468353	0
4: 439	1.42309	0.586215	0
5: 440	1.16436	-0.286787	0
6: 441	0.845525	-0.252484	0
7: 442	1.33266	-0.355258	0
8: 443	1.30675	0.55268	0
9: 444	1.21239	-0.260859	0
10: 445	1.42309	0.586215	0
11: 446	0.948274	-0.270443	0
12: 447	1.30675	0.55268	0
13: 448	0.887826	-0.265179	0
14: 449	1.44419	-0.370725	0
15: 450	0.965379	-0.252468	0
16: 451	1.3631	-0.305752	0
17: 452	1.32298	-0.309795	0
18: 453	1.16436	-0.286787	0
19: 454	1.46163	0.693745	0
20: 455	1.16436	-0.286787	0
21: 456	1.23453	-0.321207	0
22: 457	1.36579	0.453386	0
23: 458	1.31236	0.436285	0
24: 459	1.46163	0.693745	0
25: 460	1.47807	0.562405	0
26: 461	1.30675	0.55268	0
27: 462	1.52846	-0.416826	0
28: 463	1.28666	-0.303025	0
29: 464	1.23137	-0.294135	0
