total [map_out]: 51
trajectory_out: #53	x=-0.00132545	y=0.529057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 785	0.811869	-0.173953	0
1: 786	0.830445	-0.182067	0
2: 787	0.830445	-0.182067	0
3: 788	0.830445	-0.182067	0
4: 789	1.16407	-0.332589	0
5: 790	1.16407	-0.332589	0
6: 791	1.19988	-0.351477	0
7: 792	0.897897	-0.197272	0
8: 793	1.16407	-0.332589	0
9: 794	1.16407	-0.332589	0
10: 795	0.830445	-0.182067	0
11: 796	1.37286	-0.265679	0
12: 797	0.897897	-0.197272	0
13: 798	0.984738	-0.214006	0
14: 799	0.844191	-0.158427	0
15: 800	1.16407	-0.332589	0
16: 801	1.40856	-0.338293	0
17: 802	1.45599	-0.296915	0
18: 803	1.19988	-0.351477	0
19: 804	1.56525	-0.344711	0
20: 805	0.825135	-0.164657	0
21: 806	1.23011	-0.2743	0
22: 807	1.41773	-0.302655	0
23: 808	1.60493	-0.294884	0
24: 809	0.825135	-0.164657	0
25: 810	0.825135	-0.164657	0
26: 811	1.45599	-0.296915	0
27: 812	1.01955	-0.227788	0
28: 813	1.02366	-0.247613	0
29: 814	0.984738	-0.214006	0
30: 815	0.984738	-0.214006	0
31: 816	1.66376	-0.33652	0
32: 817	0.897897	-0.197272	0
33: 818	0.947345	-0.207343	0
34: 819	0.983704	-0.245519	0
35: 820	1.60493	-0.294884	0
36: 821	0.811869	-0.173953	0
37: 822	1.06579	-0.244181	0
38: 823	0.947345	-0.207343	0
39: 824	0.876687	-0.189048	0
40: 825	0.954205	-0.228909	0
41: 826	1.00711	-0.252952	0
42: 827	1.19544	-0.327846	0
43: 828	1.53461	-0.286084	0
44: 829	1.52086	-0.278368	0
45: 830	1.51349	-0.311204	0
46: 831	1.23011	-0.2743	0
47: 832	1.23011	-0.2743	0
48: 833	1.16407	-0.332589	0
49: 834	1.01606	-0.272299	0
50: 835	1.41773	-0.302655	0
