total [map_out]: 32
trajectory_out: #18	x=-0.00132545	y=0.432057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 497	0.891044	-0.21569	0
1: 498	0.99389	-0.237762	0
2: 499	1.50109	0.468233	0
3: 500	1.51507	0.584425	0
4: 501	0.933617	-0.242954	0
5: 502	1.09725	0.374313	0
6: 503	1.09725	0.374313	0
7: 504	1.25491	0.450407	0
8: 505	1.29828	0.487024	0
9: 506	1.51507	0.584425	0
10: 507	1.3043	-0.259686	0
11: 508	1.51507	0.584425	0
12: 509	1.03323	-0.26187	0
13: 510	1.28276	0.506424	0
14: 511	1.00952	-0.221463	0
15: 512	0.97437	-0.255901	0
16: 513	1.09725	0.374313	0
17: 514	1.53484	-0.37125	0
18: 515	1.05284	-0.246053	0
19: 516	1.45798	-0.304853	0
20: 517	1.25319	-0.282857	0
21: 518	1.32671	-0.318435	0
22: 519	1.45941	0.451185	0
23: 520	1.57354	0.563345	0
24: 521	1.40146	0.559808	0
25: 522	1.09725	0.374313	0
26: 523	1.39395	0.503329	0
27: 524	1.37508	-0.303014	0
28: 525	1.42526	-0.353787	0
29: 526	0.935482	-0.213304	0
30: 527	1.32841	0.425358	0
31: 528	1.51231	-0.292387	0
