total [map_out]: 16
trajectory_out: #123	x=-0.00932546	y=0.631057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1025	1.13573	-0.128275	0
1: 1026	1.11012	-0.0763853	0
2: 1027	1.35889	0.302323	0
3: 1028	1.43251	-0.205812	0
4: 1029	1.09782	-0.134356	0
5: 1030	1.03914	-0.121269	0
6: 1031	1.11012	-0.0763853	0
7: 1032	1.12522	-0.144581	0
8: 1033	1.28365	0.300111	0
9: 1034	1.04118	-0.0473817	0
10: 1035	1.05492	-0.0412342	0
11: 1036	1.05514	-0.0244547	0
12: 1037	1.25901	0.271103	0
13: 1038	1.05689	-0.0884748	0
14: 1039	1.02972	-0.0414919	0
15: 1040	1.06228	-0.024105	0
