total [map_out]: 38
trajectory_out: #8	x=0.00044439	y=0.146204	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 194	1.18006	-0.306925	0
1: 195	0.815184	-0.256742	0
2: 196	1.31716	-0.323158	0
3: 197	0.763445	-0.362496	0
4: 198	0.917599	-0.271828	0
5: 199	1.44261	0.503325	0
6: 200	1.45913	0.627834	0
7: 201	0.50231	-0.170812	0
8: 202	0.484	-0.190623	0
9: 203	0.858674	-0.288497	0
10: 204	1.34728	-0.382156	0
11: 205	1.14472	0.558795	0
12: 206	0.464381	-0.158883	0
13: 207	1.41311	0.720176	0
14: 208	1.22778	0.600244	0
15: 209	1.04015	0.436937	0
16: 210	1.3354	0.603601	0
17: 211	1.19492	0.504423	0
18: 212	1.33555	0.546739	0
19: 213	1.23863	0.537151	0
20: 214	1.07775	0.539036	0
21: 215	1.23406	-0.281259	0
22: 216	1.07775	0.539036	0
23: 217	0.958712	-0.297464	0
24: 218	0.97099	0.484067	0
25: 219	0.47242	-0.152521	0
26: 220	0.931655	-0.252843	0
27: 221	1.38613	0.679468	0
28: 222	0.457665	-0.188191	0
29: 223	1.04015	0.436937	0
30: 224	1.23406	-0.281259	0
31: 225	0.438472	-0.153122	0
32: 226	0.457665	-0.188191	0
33: 227	0.976429	-0.276085	0
34: 228	0.782447	-0.262234	0
35: 229	1.38223	-0.325356	0
36: 230	1.04015	0.436937	0
37: 231	0.809748	-0.389431	0
