total [map_out]: 29
trajectory_out: #70	x=-0.00132546	y=0.573057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 876	1.27653	-0.266355	0
1: 877	1.27653	-0.266355	0
2: 878	1.27653	-0.266355	0
3: 879	1.23544	-0.267943	0
4: 880	1.34834	-0.255363	0
5: 881	1.41729	-0.270431	0
6: 882	1.23544	-0.267943	0
7: 883	1.27653	-0.266355	0
8: 884	1.06843	-0.232182	0
9: 885	1.36001	-0.266207	0
10: 886	1.41729	-0.270431	0
11: 887	1.41729	-0.270431	0
12: 888	1.14348	-0.245034	0
13: 889	1.34834	-0.255363	0
14: 890	1.32424	-0.2819	0
15: 891	1.32424	-0.2819	0
16: 892	0.889433	-0.182775	0
17: 893	1.19106	-0.233	0
18: 894	1.19342	-0.267918	0
19: 895	1.78732	-0.282523	0
20: 896	1.14486	-0.253373	0
21: 897	0.889433	-0.182775	0
22: 898	1.27653	-0.266355	0
23: 899	1.24925	-0.274312	0
24: 900	1.14205	-0.271016	0
25: 901	1.47123	-0.267899	0
26: 902	1.74081	-0.291468	0
27: 903	0.889433	-0.182775	0
28: 904	1.25521	-0.268148	0
