total [map_out]: 39
trajectory_out: #11	x=-0.00132546	y=0.243903	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 293	1.21705	-0.299363	0
1: 294	0.854494	-0.247025	0
2: 295	1.3464	-0.315129	0
3: 296	1.32832	-0.476988	0
4: 297	0.957322	-0.262862	0
5: 298	1.47652	0.489879	0
6: 299	1.48906	0.610134	0
7: 300	0.895678	-0.274809	0
8: 301	1.38619	-0.37259	0
9: 302	1.17985	0.539061	0
10: 303	0.502403	-0.139582	0
11: 304	1.4462	0.702319	0
12: 305	1.36716	0.584027	0
13: 306	1.22736	0.486678	0
14: 307	1.27091	0.520257	0
15: 308	1.26765	-0.275205	0
16: 309	1.48906	0.610134	0
17: 310	1.42723	0.65193	0
18: 311	1.00718	0.462694	0
19: 312	0.513309	-0.136663	0
20: 313	1.25757	0.541647	0
21: 314	1.17985	0.539061	0
22: 315	0.943806	-0.288124	0
23: 316	0.957322	-0.262862	0
24: 317	1.07235	0.417089	0
25: 318	0.479651	-0.133735	0
26: 319	1.01297	-0.267764	0
27: 320	1.41401	-0.318567	0
28: 321	1.07304	0.418269	0
29: 322	1.30817	0.601938	0
30: 323	1.38248	-0.323606	0
31: 324	0.486217	-0.138315	0
32: 325	1.53073	0.720381	0
33: 326	1.21705	-0.299363	0
34: 327	1.28674	-0.335078	0
35: 328	0.538667	-0.178599	0
36: 329	1.42734	0.472689	0
37: 330	1.37511	0.459174	0
38: 331	1.53073	0.720381	0
