total [map_out]: 40
trajectory_out: #9	x=-0.000144165	y=0.170189	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 243	0.835981	-0.257064	0
1: 244	1.3294	-0.321007	0
2: 245	1.30937	-0.486587	0
3: 246	0.936214	-0.271086	0
4: 247	1.46516	0.503462	0
5: 248	1.4787	0.626817	0
6: 249	0.522024	-0.170075	0
7: 250	0.522024	-0.170075	0
8: 251	0.503454	-0.18946	0
9: 252	0.875594	-0.284667	0
10: 253	1.36746	-0.381479	0
11: 254	1.1737	0.560772	0
12: 255	0.483676	-0.157928	0
13: 256	1.43226	0.718051	0
14: 257	1.24371	0.599064	0
15: 258	1.05911	0.436428	0
16: 259	1.05911	0.436428	0
17: 260	1.21242	0.501209	0
18: 261	1.25482	0.534914	0
19: 262	1.0973	0.540398	0
20: 263	1.25026	-0.280287	0
21: 264	1.08273	0.532802	0
22: 265	1.4302	0.673128	0
23: 266	0.976737	-0.296187	0
24: 267	0.986944	0.481353	0
25: 268	0.492292	-0.151903	0
26: 269	1.24231	0.557382	0
27: 270	0.950033	-0.251607	0
28: 271	1.1737	0.560772	0
29: 272	0.926354	-0.298186	0
30: 273	1.05911	0.436428	0
31: 274	1.25026	-0.280287	0
32: 275	1.49353	-0.39475	0
33: 276	0.458468	-0.152315	0
34: 277	0.994535	-0.275838	0
35: 278	1.39623	-0.324625	0
36: 279	1.05911	0.436428	0
37: 280	1.37117	-0.332898	0
38: 281	0.459424	-0.166973	0
39: 282	0.464055	-0.155985	0
