total [map_out]: 30
trajectory_out: #23	x=-0.00132545	y=0.435057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 570	1.11979	-0.263127	0
1: 571	1.23959	-0.425626	0
2: 572	1.35486	0.435101	0
3: 573	1.36724	0.544009	0
4: 574	1.11979	-0.263127	0
5: 575	0.794112	-0.201077	0
6: 576	1.28683	-0.338768	0
7: 577	1.17031	-0.24502	0
8: 578	1.36724	0.544009	0
9: 579	0.831009	-0.186731	0
10: 580	0.921208	-0.220014	0
11: 581	1.31212	-0.288552	0
12: 582	1.11979	-0.263127	0
13: 583	1.11979	-0.263127	0
14: 584	1.18882	-0.296684	0
15: 585	1.31856	0.416726	0
16: 586	1.43043	0.530113	0
17: 587	1.49532	-0.403474	0
18: 588	0.831009	-0.186731	0
19: 589	1.55747	-0.442371	0
20: 590	1.28204	-0.343215	0
21: 591	1.23241	-0.284852	0
22: 592	1.18653	0.386081	0
23: 593	1.37067	-0.281922	0
24: 594	0.818123	-0.19233	0
25: 595	1.22827	0.409954	0
26: 596	1.11979	-0.263127	0
27: 597	1.11979	-0.263127	0
28: 598	1.43043	0.530113	0
29: 599	1.39167	-0.353729	0
