total [map_out]: 37
trajectory_out: #46	x=-0.00132545	y=0.529057	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 748	1.50187	-0.301391	0
1: 749	1.20222	-0.339992	0
2: 750	1.20222	-0.339992	0
3: 751	0.930991	-0.20738	0
4: 752	1.20222	-0.339992	0
5: 753	1.41729	-0.269107	0
6: 754	1.4539	-0.343423	0
7: 755	1.4539	-0.343423	0
8: 756	0.930991	-0.20738	0
9: 757	1.02177	-0.221919	0
10: 758	0.88083	-0.171321	0
11: 759	1.20222	-0.339992	0
12: 760	1.50187	-0.301391	0
13: 761	0.918449	-0.23561	0
14: 762	0.85897	-0.175598	0
15: 763	0.984944	-0.215799	0
16: 764	1.23582	-0.335112	0
17: 765	1.27127	-0.277907	0
18: 766	1.46134	-0.30663	0
19: 767	0.992591	-0.252426	0
20: 768	1.64602	-0.297477	0
21: 769	0.85897	-0.175598	0
22: 770	0.85897	-0.175598	0
23: 771	1.50187	-0.301391	0
24: 772	1.06228	-0.256325	0
25: 773	1.02177	-0.221919	0
26: 774	1.02177	-0.221919	0
27: 775	1.71095	-0.339148	0
28: 776	1.57803	-0.288987	0
29: 777	1.02077	-0.25567	0
30: 778	1.64602	-0.297477	0
31: 779	1.36617	-0.291622	0
32: 780	0.845203	-0.186711	0
33: 781	0.867363	-0.185544	0
34: 782	0.912182	-0.19969	0
35: 783	1.43577	-0.331196	0
36: 784	0.990206	-0.238033	0
