total [map_out]: 41
trajectory_out: #38	x=-0.000144226	y=0.483845	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 700	1.59404	-0.317649	0
1: 701	0.745301	-0.145299	0
2: 702	0.745301	-0.145299	0
3: 703	1.00651	0.315367	0
4: 704	0.955735	-0.199411	0
5: 705	1.80409	-0.354376	0
6: 706	1.00651	0.315367	0
7: 707	0.955735	-0.199411	0
8: 708	1.07285	0.358196	0
9: 709	0.971356	-0.242576	0
10: 710	1.00651	0.315367	0
11: 711	1.27916	-0.364541	0
12: 712	1.00651	0.315367	0
13: 713	1.01125	-0.237745	0
14: 714	1.00651	0.315367	0
15: 715	1.00651	0.315367	0
16: 716	0.895779	-0.207428	0
17: 717	1.4966	-0.279938	0
18: 718	1.01125	-0.237745	0
19: 719	0.745301	-0.145299	0
20: 720	0.955735	-0.199411	0
21: 721	1.27916	-0.364541	0
22: 722	1.52851	-0.352276	0
23: 723	1.59404	-0.317649	0
24: 724	1.32125	-0.384453	0
25: 725	0.99719	-0.27408	0
26: 726	0.933886	-0.209076	0
27: 727	1.00651	0.315367	0
28: 728	0.971356	-0.242576	0
29: 729	1.73387	-0.307191	0
30: 730	1.33593	-0.402394	0
31: 731	0.971356	-0.242576	0
32: 732	1.06328	-0.265236	0
33: 733	1.73387	-0.307191	0
34: 734	0.933886	-0.209076	0
35: 735	0.933886	-0.209076	0
36: 736	1.06747	-0.298414	0
37: 737	1.396	-0.327748	0
38: 738	1.33593	-0.402394	0
39: 739	1.09044	-0.248359	0
40: 740	1.14377	-0.260866	0
