total [map_out]: 39
trajectory_out: #77	x=-0.000144226	y=0.533845	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 897	1.12415	-0.242205	0
1: 898	1.17529	-0.263683	0
2: 899	0.89073	-0.193727	0
3: 900	1.26755	-0.255785	0
4: 901	1.12415	-0.242205	0
5: 902	0.89073	-0.193727	0
6: 903	1.26755	-0.255785	0
7: 904	1.17529	-0.263683	0
8: 905	0.89073	-0.193727	0
9: 906	0.89073	-0.193727	0
10: 907	1.17529	-0.263683	0
11: 908	1.62592	-0.271519	0
12: 909	1.37391	-0.27857	0
13: 910	1.12415	-0.242205	0
14: 911	0.923383	-0.20315	0
15: 912	1.10313	-0.253562	0
16: 913	1.56619	-0.230434	0
17: 914	1.56619	-0.230434	0
18: 915	1.0681	-0.269892	0
19: 916	1.58009	-0.280441	0
20: 917	1.68391	0.201855	0
21: 918	1.6356	0.144828	0
22: 919	1.71699	0.270367	0
23: 920	1.71866	0.446716	0
24: 921	1.68055	0.0130732	0
25: 922	1.21428	-0.251409	0
26: 923	1.6356	0.144828	0
27: 924	1.04574	-0.243397	0
28: 925	1.78908	0.756867	0
29: 926	1.63809	0.255679	0
30: 927	1.78716	-0.0812015	0
31: 928	1.65084	0.105229	0
32: 929	1.76156	0.220939	0
33: 930	1.78716	-0.0812015	0
34: 931	1.71699	0.270367	0
35: 932	1.76734	0.154974	0
36: 933	1.10449	-0.246923	0
37: 934	1.051	-0.251313	0
38: 935	1.33383	-0.302248	0
