total [map_out]: 49
trajectory_out: #51	x=-0.000144226	y=0.492845	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 784	0.794133	-0.180839	0
1: 785	0.794133	-0.180839	0
2: 786	1.12734	-0.330748	0
3: 787	1.12734	-0.330748	0
4: 788	1.16254	-0.349503	0
5: 789	0.861461	-0.196048	0
6: 790	1.12734	-0.330748	0
7: 791	0.794133	-0.180839	0
8: 792	1.37055	-0.33606	0
9: 793	1.37055	-0.33606	0
10: 794	0.861461	-0.196048	0
11: 795	1.17515	-0.363953	0
12: 796	0.948236	-0.213064	0
13: 797	1.12734	-0.330748	0
14: 798	1.41973	-0.295538	0
15: 799	1.16254	-0.349503	0
16: 800	0.789267	-0.163712	0
17: 801	0.910776	-0.205673	0
18: 802	1.15884	-0.326231	0
19: 803	1.19515	-0.273315	0
20: 804	1.38111	-0.300055	0
21: 805	1.48329	-0.273535	0
22: 806	1.17515	-0.363953	0
23: 807	0.918386	-0.226685	0
24: 808	1.56509	-0.29279	0
25: 809	0.789267	-0.163712	0
26: 810	0.789267	-0.163712	0
27: 811	1.41973	-0.295538	0
28: 812	1.17515	-0.363953	0
29: 813	0.987465	-0.246341	0
30: 814	0.948236	-0.213064	0
31: 815	0.948236	-0.213064	0
32: 816	1.62746	-0.335069	0
33: 817	0.946981	-0.245899	0
34: 818	1.56509	-0.29279	0
35: 819	1.28806	-0.283858	0
36: 820	0.775597	-0.172794	0
37: 821	1.02968	-0.242749	0
38: 822	0.840385	-0.187828	0
39: 823	1.35805	-0.325852	0
40: 824	0.918386	-0.226685	0
41: 825	0.971618	-0.25216	0
42: 826	1.49788	-0.284614	0
43: 827	1.29193	-0.304714	0
44: 828	1.48329	-0.273535	0
45: 829	1.45699	-0.304996	0
46: 830	1.19515	-0.273315	0
47: 831	1.19515	-0.273315	0
48: 832	1.12734	-0.330748	0
