total [map_out]: 27
trajectory_out: #67	x=-0.000144224	y=0.515845	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 870	1.17455	-0.23714	0
1: 871	0.75096	-0.142492	0
2: 872	1.03558	-0.238388	0
3: 873	1.22489	-0.2752	0
4: 874	1.33181	-0.259808	0
5: 875	1.05208	-0.240774	0
6: 876	1.40402	-0.27539	0
7: 877	0.820792	-0.172094	0
8: 878	1.46837	-0.318642	0
9: 879	1.34266	-0.2688	0
10: 880	1.40402	-0.27539	0
11: 881	0.999268	-0.279825	0
12: 882	1.33181	-0.259808	0
13: 883	1.3101	-0.288317	0
14: 884	1.03558	-0.238388	0
15: 885	1.03558	-0.238388	0
16: 886	1.3101	-0.288317	0
17: 887	1.17455	-0.23714	0
18: 888	1.51213	-0.295952	0
19: 889	1.17741	-0.275323	0
20: 890	1.7796	-0.285676	0
21: 891	1.12867	-0.260998	0
22: 892	1.51213	-0.295952	0
23: 893	1.05208	-0.240774	0
24: 894	1.23742	-0.282251	0
25: 895	1.70848	-0.240644	0
26: 896	1.70848	-0.240644	0
