total [map_out]: 27
trajectory_out: #118	x=-0.00514423	y=0.568845	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 1015	1.14507	-0.0452111	0
1: 1016	1.19618	-0.0104017	0
2: 1017	1.50326	-0.00743492	0
3: 1018	1.07403	0.055885	0
4: 1019	1.05858	-0.00306768	0
5: 1020	1.07403	0.055885	0
6: 1021	1.11817	-0.00809861	0
7: 1022	1.50326	-0.00743492	0
8: 1023	1.15126	0.068071	0
9: 1024	1.10097	0.0278886	0
10: 1025	1.17456	-0.0125559	0
11: 1026	1.15347	0.0421483	0
12: 1027	1.19618	-0.0104017	0
13: 1028	1.19618	-0.0104017	0
14: 1029	1.16117	-0.0754386	0
15: 1030	1.14931	-0.185862	0
16: 1031	1.10506	0.0128213	0
17: 1032	1.1613	-0.027625	0
18: 1033	1.08589	0.0788653	0
19: 1034	1.15302	-0.00662874	0
20: 1035	1.15347	0.0421483	0
21: 1036	1.10097	0.0278886	0
22: 1037	1.10097	0.0278886	0
23: 1038	1.1613	-0.027625	0
24: 1039	1.08983	0.0607448	0
25: 1040	1.08065	0.0783296	0
26: 1041	1.10872	0.0191582	0
