total [map_out]: 35
trajectory_out: #33	x=-0.000144227	y=0.465845	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 665	1.13736	0.372328	0
1: 666	0.769351	-0.159257	0
2: 667	0.769351	-0.159257	0
3: 668	1.09659	-0.301157	0
4: 669	0.981245	-0.207473	0
5: 670	1.03629	0.330988	0
6: 671	1.0952	-0.26751	0
7: 672	0.924829	-0.219766	0
8: 673	1.3062	-0.371962	0
9: 674	1.03629	0.330988	0
10: 675	1.03838	-0.246753	0
11: 676	1.0952	-0.26751	0
12: 677	1.01475	0.333199	0
13: 678	1.52362	-0.285554	0
14: 679	1.5643	-0.358321	0
15: 680	1.01475	0.333199	0
16: 681	1.5643	-0.358321	0
17: 682	1.03838	-0.246753	0
18: 683	1.12558	-0.254929	0
19: 684	1.09659	-0.301157	0
20: 685	1.3062	-0.371962	0
21: 686	1.5643	-0.358321	0
22: 687	1.62492	-0.321345	0
23: 688	1.35052	-0.393047	0
24: 689	1.5643	-0.358321	0
25: 690	1.02305	-0.284597	0
26: 691	0.960346	-0.218154	0
27: 692	1.01475	0.333199	0
28: 693	0.982273	0.313124	0
29: 694	1.34752	-0.365617	0
30: 695	1.13736	0.372328	0
31: 696	1.13736	0.372328	0
32: 697	1.58318	-0.324941	0
33: 698	1.68546	-0.498605	0
34: 699	1.0952	-0.26751	0
